window_idx,IAV_channel_1,ISD_channel_1,KURT_channel_1,LD_channel_1,MAV_channel_1,MNF_channel_1,MNP_channel_1,MPK_channel_1,RMS_channel_1,SAMPEN_channel_1,SKEW_channel_1,SM_channel_1,SSC_channel_1,VAR_channel_1,WAMP_channel_1,WL_channel_1,ZC_channel_1,IAV_channel_2,ISD_channel_2,KURT_channel_2,LD_channel_2,MAV_channel_2,MNF_channel_2,MNP_channel_2,MPK_channel_2,RMS_channel_2,SAMPEN_channel_2,SKEW_channel_2,SM_channel_2,SSC_channel_2,VAR_channel_2,WAMP_channel_2,WL_channel_2,ZC_channel_2,IAV_channel_3,ISD_channel_3,KURT_channel_3,LD_channel_3,MAV_channel_3,MNF_channel_3,MNP_channel_3,MPK_channel_3,RMS_channel_3,SAMPEN_channel_3,SKEW_channel_3,SM_channel_3,SSC_channel_3,VAR_channel_3,WAMP_channel_3,WL_channel_3,ZC_channel_3,IAV_channel_4,ISD_channel_4,KURT_channel_4,LD_channel_4,MAV_channel_4,MNF_channel_4,MNP_channel_4,MPK_channel_4,RMS_channel_4,SAMPEN_channel_4,SKEW_channel_4,SM_channel_4,SSC_channel_4,VAR_channel_4,WAMP_channel_4,WL_channel_4,ZC_channel_4,IAV_channel_5,ISD_channel_5,KURT_channel_5,LD_channel_5,MAV_channel_5,MNF_channel_5,MNP_channel_5,MPK_channel_5,RMS_channel_5,SAMPEN_channel_5,SKEW_channel_5,SM_channel_5,SSC_channel_5,VAR_channel_5,WAMP_channel_5,WL_channel_5,ZC_channel_5,IAV_channel_6,ISD_channel_6,KURT_channel_6,LD_channel_6,MAV_channel_6,MNF_channel_6,MNP_channel_6,MPK_channel_6,RMS_channel_6,SAMPEN_channel_6,SKEW_channel_6,SM_channel_6,SSC_channel_6,VAR_channel_6,WAMP_channel_6,WL_channel_6,ZC_channel_6,IAV_channel_7,ISD_channel_7,KURT_channel_7,LD_channel_7,MAV_channel_7,MNF_channel_7,MNP_channel_7,MPK_channel_7,RMS_channel_7,SAMPEN_channel_7,SKEW_channel_7,SM_channel_7,SSC_channel_7,VAR_channel_7,WAMP_channel_7,WL_channel_7,ZC_channel_7,IAV_channel_8,ISD_channel_8,KURT_channel_8,LD_channel_8,MAV_channel_8,MNF_channel_8,MNP_channel_8,MPK_channel_8,RMS_channel_8,SAMPEN_channel_8,SKEW_channel_8,SM_channel_8,SSC_channel_8,VAR_channel_8,WAMP_channel_8,WL_channel_8,ZC_channel_8,label
0,0.711920446,0.012901392,3.304980673,1.017795179,0.017798011,8.438514903,1.30E-05,0.02185425,0.017959254,0.001111317,0.155059509,0.467595126,28,5.77E-06,0,0.008112478,26,0.306982887,0.003181556,2.896283913,1.007664331,0.007674572,13.31962083,2.91E-06,0.015349144,0.008918458,0.001111317,0.252841251,0.164939106,24,2.06E-05,0,0.015349144,16,0.419968021,0.00459136,2.974833964,1.010496949,0.010499201,8.840482149,4.59E-06,0.014102861,0.010713729,0.001111317,-0.017235754,0.172861235,28,4.55E-06,0,0.007207321,23,0.202195516,0.001380239,2.848912767,1.005050433,0.005054888,13.31962083,1.26E-06,0.010109776,0.005874179,0.001111317,0.063693435,0.07155473,26,8.95E-06,0,0.010109776,22,0.21260143,0.001525962,2.94493058,1.005310112,0.005315036,13.31962083,1.39E-06,0.010630072,0.006176491,0.001111317,-0.345906042,0.079109323,22,9.90E-06,0,0.010630072,21,0.219905382,0.001632612,6.040316621,1.005492368,0.005497635,13.31962083,1.49E-06,0.010995269,0.006388685,0.001111317,-0.987231642,0.084638318,26,1.06E-05,0,0.010995269,20,1.197536555,0.043415703,14.45894055,1.029846609,0.029938414,11.48543872,4.11E-05,0.053167297,0.032945297,0.001111317,1.492688041,2.011725038,27,0.000189084,0,0.046457767,20,0.505870005,0.006918173,3.758159806,1.012640324,0.01264675,9.512740918,6.82E-06,0.018740814,0.01315121,0.001111317,0.23833133,0.276363522,21,1.30E-05,0,0.012188127,19,no weight
1,0.858323508,0.018556931,3.663218076,1.021456387,0.021458088,8.062187558,1.88E-05,0.024221834,0.021538878,0.010373025,0.439384069,0.636259253,27,3.47E-06,0,0.006319816,26,0.560004331,0.008179566,2.589614897,1.013995918,0.014000108,7.933680657,8.17E-06,0.017430788,0.01429997,0.02063787,-0.10297394,0.256206518,27,8.49E-06,0,0.009559432,20,0.534064707,0.007194163,2.420209504,1.013350833,0.013351618,7.702956537,7.28E-06,0.014609147,0.013410968,0.040990401,-0.270867343,0.228209157,28,1.59E-06,0,0.004017545,25,0.378738448,0.003773705,3.006164819,1.009466136,0.009468461,8.375026666,3.76E-06,0.012469793,0.009713014,0.013987759,-0.030831654,0.127732494,24,4.69E-06,0,0.007285292,22,0.374032342,0.003615572,3.030546256,1.009349345,0.009350809,7.365951128,3.63E-06,0.010691772,0.009507329,0.067037716,-0.21878643,0.100950667,22,2.95E-06,0,0.005240454,21,0.394824369,0.004047927,7.624533124,1.009868741,0.009870609,7.678628688,4.05E-06,0.011853299,0.01005973,0.034889646,-1.538164266,0.120701904,27,3.77E-06,0,0.0062147,16,1.844676903,0.086799622,7.526501134,1.046096178,0.046116923,6.958978401,8.75E-05,0.053167297,0.046583157,0.14768514,0.802023991,2.243136128,25,4.32E-05,0,0.028201498,23,0.706271066,0.012682253,2.757871496,1.017654173,0.017656777,7.800485578,1.28E-05,0.020342471,0.017806075,0.023656837,-0.075494069,0.404844073,23,5.29E-06,0,0.007539463,19,no weight
2,0.97136554,0.023671537,3.451673357,1.024283128,0.024284138,8.17671496,2.40E-05,0.026714027,0.024326702,0.001111317,0.45500359,0.835970794,27,2.07E-06,0,0.004859777,23,0.699422737,0.012293782,3.305332184,1.017484782,0.017485568,8.207656536,1.25E-05,0.019621993,0.017531245,0.001111317,-0.339266123,0.435515833,28,1.60E-06,0,0.004272848,22,0.584898807,0.00855645,2.890003273,1.014622424,0.01462247,8.121487267,8.69E-06,0.015142079,0.014625705,0.001111317,-0.209401306,0.300487822,29,9.46E-08,0,0.001039219,29,0.501275939,0.006364173,2.604422876,1.012530883,0.012531898,8.347981594,6.43E-06,0.014954021,0.012613656,0.001111317,-0.038096947,0.228625995,24,2.06E-06,0,0.004844245,21,0.427735846,0.004574005,2.925087249,1.010693395,0.010693396,8.113721383,4.65E-06,0.010756721,0.010693462,0.001111317,0.074570616,0.160504221,22,1.41E-09,0,0.000126649,20,0.475035155,0.00565233,4.162854471,1.011875745,0.011875879,8.148249351,5.74E-06,0.012756489,0.011887314,0.001111317,-0.205255043,0.19904046,26,2.72E-07,0,0.00176122,21,1.898101499,0.090527509,5.894587512,1.047447074,0.047452537,8.204985371,9.18E-05,0.053167297,0.047572973,0.001111317,0.085774543,3.206139108,27,1.14E-05,0,0.011429519,23,0.815384796,0.016659185,3.016293483,1.020384156,0.02038462,8.15458794,1.69E-05,0.022028426,0.020407832,0.001111317,-0.323081941,0.587011451,29,9.47E-07,0,0.003287612,21,no weight
3,1.117238813,0.031542866,2.901775191,1.027926873,0.02793097,8.761878975,3.19E-05,0.033949384,0.028081518,0.017134376,-0.120526889,1.226430358,26,8.43E-06,0,0.009602941,21,0.763400045,0.014587635,3.26053855,1.019084778,0.019085001,7.84689945,1.48E-05,0.019621993,0.019096881,0.066053493,0.059841171,0.483944276,28,4.54E-07,0,0.002147966,27,0.591368547,0.008745407,2.198900113,1.014784183,0.014784214,7.869375029,8.88E-06,0.015142079,0.014786317,0.411882586,-0.274689783,0.291990931,30,6.22E-08,0,0.001431463,25,0.561108906,0.007887248,2.904210112,1.014027523,0.014027723,7.476264971,8.00E-06,0.014954021,0.014042122,0.384950727,0.182015163,0.240968051,27,4.04E-07,0,0.003705194,22,0.43629287,0.004760923,2.751207745,1.010907295,0.010907322,8.264842735,4.83E-06,0.011420826,0.01090977,0.063869739,0.03809327,0.17188467,20,5.34E-08,0,0.000725806,18,0.513980052,0.006619431,2.6123373,1.012849316,0.012849501,8.230214289,6.72E-06,0.013986569,0.012864128,0.01003312,0.039672186,0.236685374,26,3.76E-07,0,0.002088111,25,1.619490292,0.066482787,2.845137496,1.040476262,0.040487257,8.052686666,6.72E-05,0.047306005,0.040768489,0.01003312,-0.169956042,2.25001261,24,2.29E-05,0,0.016138537,21,0.853048649,0.018200099,4.42718001,1.021326121,0.021326216,7.782686083,1.85E-05,0.022028426,0.021330787,0.403188314,0.05188614,0.596581624,20,1.95E-07,0,0.002808839,19,no weight
4,1.365591521,0.047393935,5.160928159,1.034130445,0.034139788,8.409838379,4.78E-05,0.041565549,0.034421626,0.001111317,-0.40054296,1.71293952,27,1.93E-05,0,0.014851522,20,0.782157022,0.015294305,3.586031729,1.019553925,0.019553926,8.113576163,1.55E-05,0.019621993,0.019553967,0.001111317,0.245607799,0.536677196,25,1.62E-09,0,0.000136134,25,0.567702217,0.008069783,1.949843567,1.0141924,0.014192555,8.14179411,8.19E-06,0.015142079,0.014203682,0.001111317,-0.008672233,0.283982363,30,3.16E-07,0,0.001899048,23,0.542937791,0.007396253,2.99149129,1.013573115,0.013573445,8.178813398,7.50E-06,0.014954021,0.013598026,0.001111317,0.002862448,0.261257267,23,6.68E-07,0,0.002761153,22,0.457532081,0.005239902,2.843897535,1.011438222,0.011438302,8.135949253,5.32E-06,0.012119883,0.011445416,0.001111317,-0.248436834,0.184287113,27,1.63E-07,0,0.001363162,24,0.560757595,0.007883567,2.325827957,1.014018664,0.01401894,8.164723384,8.00E-06,0.015281391,0.014038845,0.001111317,-0.122439284,0.278074481,25,5.59E-07,0,0.002524903,22,1.235572096,0.039815624,2.559812198,1.030869299,0.030889302,8.873764838,3.98E-05,0.041737778,0.031549811,0.001111317,0.247242065,1.503619386,27,4.12E-05,0,0.021696951,22,0.831579041,0.017309609,3.339568778,1.020789213,0.020789476,8.135954851,1.76E-05,0.022028426,0.020802409,0.001111317,0.327747785,0.608778515,22,5.38E-07,0,0.0024779,21,no weight
5,1.716076089,0.074992621,3.433520029,1.042885507,0.042901902,8.772131611,7.56E-05,0.054146319,0.04329914,0.01003312,0.36431014,2.886624298,27,3.42E-05,0,0.019816127,22,0.86471937,0.019001634,2.505751769,1.021614221,0.021617984,9.439487313,1.92E-05,0.02794804,0.021795432,0.069295741,0.145831795,0.819367786,27,7.70E-06,0,0.008528503,22,0.869549585,0.023498798,2.357352091,1.021682894,0.02173874,15.74052922,2.21E-05,0.046300687,0.024237779,0.06469961,-0.035525148,1.669304707,26,0.000114897,0,0.033982833,24,0.532389451,0.00711515,2.746015152,1.013309376,0.013309736,9.066353084,7.21E-06,0.015315163,0.013337119,0.288770709,0.119674835,0.294158029,24,7.30E-07,0,0.004467471,20,0.498558723,0.006240788,3.042409221,1.012463638,0.012463968,8.478596819,6.33E-06,0.014160327,0.012490785,0.020163053,0.282267372,0.233011287,29,6.69E-07,0,0.002704549,27,0.608327823,0.009267718,2.50379,1.015207997,0.015208196,8.095902556,9.41E-06,0.01621869,0.015221463,0.016581737,-0.070297366,0.323111608,26,4.04E-07,0,0.002167379,24,1.047879458,0.028051311,3.688952066,1.026189681,0.026196986,10.99802879,2.83E-05,0.034095155,0.026481744,0.411882586,0.889848425,1.489784411,30,1.50E-05,0,0.024624638,23,0.891525862,0.020230181,3.771352853,1.022283757,0.022288147,9.72389722,2.04E-05,0.029293826,0.022488987,0.072736325,0.022625183,0.908901117,28,8.99E-06,0,0.010950482,23,no weight
6,2.179095666,0.121048317,2.467661948,1.054449689,0.054477392,8.464697565,0.000122025,0.067389234,0.05501098,0.001111317,0.440027293,4.398417537,27,5.84E-05,0,0.025823685,26,1.126829147,0.032800865,3.173506813,1.028157875,0.028170729,8.702832723,3.29E-05,0.036855599,0.02863602,0.001111317,-0.218297926,1.219229107,31,2.64E-05,0,0.01736974,28,1.886825016,0.105137535,7.138797272,1.046977979,0.047170625,11.05868596,0.000100466,0.081098219,0.051268298,0.001111317,0.642541987,4.730888961,26,0.00040337,0,0.067855188,27,0.615893142,0.009627044,4.120108049,1.015395557,0.015397329,8.385029414,9.72E-06,0.018601789,0.015513739,0.001111317,0.18564232,0.347102642,25,3.60E-06,0,0.00640892,21,0.568560926,0.008143009,2.631281223,1.014213266,0.014214023,8.250204125,8.25E-06,0.016308163,0.014267979,0.001111317,0.285790692,0.289704444,23,1.54E-06,0,0.00418828,23,0.649734214,0.010566835,2.90454529,1.016243196,0.016243355,8.135674816,1.07E-05,0.01720532,0.016253334,0.001111317,0.275064982,0.371624751,28,3.24E-07,0,0.001923928,24,1.378600247,0.05042982,2.615969954,1.034429765,0.034465006,9.181505541,5.01E-05,0.048889185,0.035506978,0.001111317,0.658799081,1.957844385,28,7.29E-05,0,0.028848358,23,1.182009151,0.036330267,5.865468838,1.029533211,0.029550229,8.820634055,3.63E-05,0.039549932,0.030137297,0.001111317,-0.904650452,1.365306202,31,3.50E-05,0,0.019999406,24,no weight
7,2.662373183,0.178848004,3.208680798,1.066540066,0.06655933,8.155112552,0.000181,0.076650385,0.066867033,0.016581737,-0.2444469,6.228296856,21,4.11E-05,0,0.021841921,22,1.80640349,0.091195046,2.850491122,1.04504592,0.045160087,11.96181362,8.89E-05,0.078535734,0.047748049,0.027990165,-0.381144362,4.92213682,31,0.000240443,19,0.050142316,30,3.263948988,0.282211352,3.2698154,1.081415281,0.081598725,9.233137658,0.000280406,0.116157896,0.083995737,0.009534802,0.337378493,11.08057962,28,0.000396932,0,0.068117333,25,0.779534236,0.015531369,3.01022779,1.019484197,0.019488356,8.986748413,1.56E-05,0.025270352,0.019704929,0.013497795,0.097477031,0.617027567,20,8.49E-06,0,0.009790858,18,0.661282067,0.01101781,2.901504722,1.016531001,0.016532052,8.39638524,1.12E-05,0.019244162,0.016596544,0.01003312,0.063641249,0.402875977,26,2.14E-06,0,0.004976443,24,0.716451539,0.012915437,2.646094071,1.017910272,0.017911288,8.640468942,1.31E-05,0.020966494,0.017969027,0.022724508,0.136158803,0.494834325,26,2.07E-06,0,0.004698473,17,1.825037111,0.084201398,3.400178339,1.04561475,0.045625928,7.591793081,8.52E-05,0.049890483,0.04588066,0.063969027,0.636151645,2.594548448,24,2.33E-05,0,0.015055626,20,2.290339022,0.163671093,3.504750596,1.056879586,0.057258476,14.9862952,0.000153499,0.120127408,0.063967002,0.045435047,-0.238420405,10.85573961,28,0.000813244,19,0.090320776,25,no weight
8,3.075763987,0.237774441,4.261075504,1.0768794,0.0768941,8.209862551,0.000240994,0.086398965,0.077099682,0.001111317,0.290078553,8.4251935,23,3.17E-05,0,0.019009731,20,3.185303173,0.279303368,7.620371755,1.079335503,0.079632579,9.832525936,0.000273629,0.12240956,0.083561859,0.001111317,-1.504404308,11.4565726,31,0.000641237,39,0.085553961,28,4.683220777,0.566462216,3.511622314,1.116877394,0.117080519,8.69922405,0.000568211,0.153062819,0.119002334,0.001111317,-0.567049437,21.0486336,29,0.000453707,0,0.0719646,25,1.017833624,0.026556208,4.43611997,1.025437837,0.025445841,8.564222317,2.67E-05,0.032289893,0.025766358,0.001111317,-0.309617466,0.974237683,23,1.64E-05,0,0.013688104,16,0.772856989,0.01505997,3.103327428,1.019319864,0.019321425,8.266593362,1.52E-05,0.022334686,0.019403588,0.001111317,-0.400115363,0.536666722,25,3.18E-06,0,0.006026523,22,0.842618878,0.01795903,2.290803152,1.021062915,0.021065472,8.324444049,1.82E-05,0.024925624,0.021189048,0.001111317,0.129113188,0.643661543,27,5.22E-06,0,0.007720305,20,1.996673335,0.099682413,3.616685795,1.049916657,0.049916833,8.116181046,0.000101234,0.050944481,0.04992054,0.001111317,0.284808454,3.498784394,24,3.70E-07,0,0.002055296,19,4.889914704,0.693643831,3.586639111,1.121178798,0.122247868,10.74929018,0.000666966,0.204945804,0.131685594,0.001111317,-0.530785478,30.52850234,31,0.002396555,39,0.165395872,32,no weight
9,3.538743534,0.315588051,4.151839837,1.088439701,0.088468588,8.502602452,0.000319533,0.103938609,0.08882399,0.01003312,-0.028522736,11.76459384,28,6.30E-05,0,0.026800795,21,4.316262123,0.471050815,6.990789133,1.107846423,0.107906553,6.970296008,0.00047634,0.12240956,0.108518525,0.225246602,-1.41258186,12.45908621,28,0.000132446,19,0.058012027,25,5.600506402,0.787750014,3.220699622,1.139972945,0.14001266,7.250815858,0.000798648,0.153062819,0.140334423,0.299902919,-0.477749233,22.70579784,30,9.02E-05,0,0.052200638,23,1.204939238,0.036440786,3.415296241,1.030121734,0.030123481,7.452658674,3.70E-05,0.032289893,0.030183102,0.175631777,-0.243896835,1.103177565,24,3.60E-06,0,0.008665646,21,0.880850044,0.019471833,2.360946831,1.022020341,0.022021251,8.037397901,1.97E-05,0.024016944,0.02206345,0.010373025,-0.066571835,0.668592307,25,1.86E-06,0,0.004618256,24,0.944014991,0.022321871,2.342955176,1.023599852,0.023600375,7.573826374,2.27E-05,0.024925624,0.023623013,0.27077,0.212028808,0.697321526,29,1.07E-06,0,0.005300998,26,2.080087781,0.108318544,2.838923199,1.052000421,0.052002195,8.349774486,0.000109953,0.056176632,0.052038098,0.030788808,-0.103203681,3.967700236,28,3.74E-06,0,0.006233449,25,7.651497147,1.505202458,2.449708245,1.190845983,0.191287429,7.909575351,0.001512453,0.23088978,0.193984694,0.020959802,0.013816506,48.18408603,29,0.001039181,19,0.106521452,30,no weight
10,4.176007148,0.440518043,5.95876442,1.104348766,0.104400179,8.30042151,0.000445624,0.122401392,0.104942609,0.001111317,-0.820536647,15.75089317,28,0.000113554,0,0.036002427,21,4.225915241,0.450397148,3.011140115,1.105603356,0.105647881,8.271914656,0.000455893,0.12240956,0.106112811,0.001111317,0.011143965,16.05855523,28,9.85E-05,0,0.033523358,25,5.418831234,0.738431306,2.41561231,1.135423023,0.135470781,8.219815361,0.000748272,0.153062819,0.135870463,0.001111317,0.197714267,26.19140927,30,0.00010845,0,0.035184077,22,1.209610193,0.036637807,2.790074909,1.03023954,0.030240255,8.142538742,3.72E-05,0.032289893,0.030264586,0.001111317,0.036605554,1.289412257,26,1.47E-06,0,0.004099275,25,0.962448542,0.023199463,2.310645078,1.024060704,0.024061214,8.146042822,2.35E-05,0.025787741,0.024082911,0.001111317,0.071609914,0.816760341,30,1.04E-06,0,0.003453054,29,0.93381114,0.021835089,3.74906975,1.023344851,0.023345279,8.142466879,2.22E-05,0.024925624,0.023364015,0.001111317,0.530076561,0.768447362,32,8.75E-07,0,0.003160692,24,2.25257281,0.127256292,3.131034117,1.056309537,0.05631432,8.170919959,0.000129086,0.061684159,0.056403965,0.001111317,0.011282157,4.491482282,27,1.01E-05,0,0.010739678,23,9.262900647,2.154971075,2.482105756,1.23147164,0.231572516,8.196917096,0.002184753,0.258199229,0.23210833,0.001111317,0.371829062,76.25892314,25,0.000248447,0,0.053253425,24,no weight
11,4.827591201,0.585410991,4.435954766,1.120658832,0.12068978,8.054816272,0.000593474,0.133094587,0.12097634,0.010373025,-0.711605702,20.13919091,28,6.93E-05,0,0.028232839,24,4.415547274,0.503975786,4.496076894,1.110204599,0.110388682,10.75999719,0.000505378,0.158564228,0.112247025,0.126987995,1.015881405,25.62483636,25,0.000413734,19,0.086009918,23,5.25234699,0.693629276,4.518301819,1.131265204,0.131308675,9.289779618,0.000702923,0.154457512,0.131684213,0.292395426,-0.068394003,29.65481643,28,9.88E-05,0,0.05371973,27,1.457793604,0.057014725,4.919787721,1.036398271,0.03644484,11.72378666,5.64E-05,0.059210426,0.037754048,0.063521594,-0.384330379,3.12803998,28,9.71E-05,0,0.033016892,27,1.416430131,0.057515113,7.6593894,1.035322631,0.035410753,13.27937479,5.55E-05,0.065962048,0.037919359,0.065350652,0.899859521,3.49538389,31,0.000183956,19,0.041856565,26,1.791068556,0.115080299,16.79716151,1.044366744,0.044776714,18.96503417,0.000103231,0.112272233,0.053637743,0.065908829,-1.826854019,9.388979389,33,0.000872053,19,0.092047125,22,4.142182221,0.563104178,19.74125889,1.102081324,0.103554556,16.67381603,0.00051941,0.234397895,0.118649081,0.065350652,2.675095573,41.35633597,27,0.003354058,19,0.177945887,24,10.57776553,2.818016532,3.851493019,1.264239644,0.264444138,8.493707678,0.002853912,0.309122843,0.265424967,0.013497795,0.576893257,104.9831926,25,0.000519711,19,0.076867591,26,no weight
12,5.335039477,0.713254399,2.637255587,1.133357367,0.133375987,8.156277486,0.000723738,0.144350582,0.133534115,0.001111317,-0.306534871,25.13689332,23,4.22E-05,0,0.021949189,24,6.41591443,1.100781209,3.558893181,1.159625019,0.160397861,9.319593331,0.001089927,0.231909519,0.165890115,0.001111317,-0.239124706,43.25381975,24,0.001792056,39,0.143023317,22,6.216804436,0.985971488,4.455460096,1.155206338,0.155420111,8.478096856,0.000993646,0.19296148,0.157000915,0.001111317,0.534319524,35.87282978,30,0.000493876,0,0.075082737,25,2.401069477,0.158335231,3.725570152,1.059859173,0.060026737,9.791668737,0.000155249,0.091862857,0.062915664,0.001111317,-0.663999157,6.473115533,24,0.000355172,0,0.06367224,25,2.680770672,0.203492888,3.404238289,1.066740011,0.067019267,10.32789027,0.000197347,0.108250793,0.071325467,0.001111317,0.188811831,8.678916,28,0.00059574,39,0.082463052,23,4.586160183,0.64676644,3.740629626,1.11329555,0.114654005,11.75225126,0.000609539,0.207543076,0.127158016,0.001111317,0.157968326,30.50288664,23,0.00302362,39,0.185778144,20,9.55771975,2.724176998,8.239696212,1.234478522,0.238942994,11.22670346,0.002594378,0.416201828,0.260968245,0.001111317,0.15050982,124.0239715,26,0.011010671,39,0.354517669,25,12.41851752,3.893777064,3.369085455,1.310097595,0.310462938,8.291724926,0.003939633,0.362726647,0.312000684,0.001111317,0.161085834,139.1033731,28,0.000957191,39,0.104527419,28,medium
13,5.862075573,0.862288067,3.27930226,1.146517182,0.146551889,8.337053732,0.000874513,0.163849007,0.14682371,0.01003312,-0.157441426,31.390354,24,7.97E-05,0,0.030191621,21,8.924897271,2.029632706,2.958105748,1.222728016,0.223122432,8.06316392,0.00204636,0.266439196,0.225257226,0.013987759,-0.524999643,68.20694094,25,0.000957198,19,0.104207703,24,8.192579539,1.729761341,5.586542174,1.204282157,0.204814488,9.263913243,0.001736514,0.276952285,0.207951998,0.013497795,0.852438487,71.097117,25,0.001295059,19,0.120569574,22,3.626277416,0.339968002,3.772277339,1.090528161,0.090656935,8.594295941,0.000340888,0.11805898,0.092191106,0.009534802,-0.703682909,12.36840644,24,0.00028052,0,0.057215933,21,4.249404623,0.469371729,2.59843979,1.106032002,0.106235116,8.636287912,0.000469685,0.140362391,0.108324943,0.009534802,0.007787168,17.05996593,24,0.000448393,19,0.072285906,21,8.004019802,1.680680629,4.360133431,1.199270654,0.200100495,8.624198604,0.001675992,0.268280052,0.204980525,0.010373025,-0.64848642,60.02802808,24,0.001976808,38,0.151244276,19,14.15441559,5.097530062,8.285265273,1.353024544,0.35386039,6.684205635,0.00514245,0.416201828,0.356984946,0.289325458,-1.437410739,122.5927983,22,0.002221076,38,0.249365755,21,14.63391395,5.398648865,4.340677693,1.365438112,0.365847849,8.354838845,0.005465443,0.426135067,0.367377492,0.009534802,-0.754234566,195.6904427,26,0.001121573,38,0.114332034,27,medium
14,6.574484958,1.086209623,4.398123024,1.164301858,0.164362124,8.206998024,0.001100985,0.184373666,0.164788472,0.001111317,0.680176049,38.47718754,24,0.000140333,0,0.040023085,20,10.69391485,2.876599115,3.470838799,1.267174213,0.267347871,8.224259925,0.002914657,0.302786223,0.268169681,0.001111317,-0.438647945,102.0755531,24,0.000440094,0,0.070876704,22,11.16650276,3.221425403,3.950925857,1.278143703,0.279162569,8.704671455,0.003230998,0.365363658,0.283788011,0.001111317,0.773981021,119.7630944,24,0.002603895,39,0.172402179,24,4.749934086,0.57417882,3.433847964,1.118635131,0.118748352,8.434306382,0.000579185,0.145633848,0.119810144,0.001111317,-0.223690744,20.80188462,25,0.000253299,0,0.053770991,21,5.648297321,0.812806094,2.557217554,1.141040642,0.141207433,8.454171537,0.000819548,0.174164073,0.142548772,0.001111317,-0.022745268,29.50401892,20,0.000380613,0,0.06591328,19,10.79513572,2.967839987,4.861766508,1.269341964,0.269878393,8.447234381,0.002992897,0.33221371,0.272389427,0.001111317,-0.787669387,107.6569532,28,0.001361653,39,0.124670633,23,13.50130606,4.64388118,3.090673537,1.336721289,0.337532652,8.45324772,0.004682492,0.416201828,0.340730142,0.001111317,0.370670744,168.5529561,22,0.002168739,39,0.157338353,18,17.11214838,7.380003284,5.540290682,1.42728376,0.427803709,8.259192647,0.007472084,0.492880772,0.429534727,0.001111317,0.626638953,262.7946815,29,0.001484068,39,0.130154124,26,medium
15,7.497048193,1.414251146,2.82571671,1.187330577,0.187426205,8.400537242,0.001432784,0.216082246,0.188032653,0.01003312,0.425350523,51.86565845,24,0.000227696,0,0.051207006,23,12.73609707,4.117977469,3.563773922,1.317814019,0.318402427,8.902111095,0.004157753,0.399780713,0.320857346,0.017134376,-0.163114892,162.8964826,28,0.001569331,19,0.131524166,27,13.85476054,4.833134442,4.543131652,1.346046574,0.346369014,7.684551475,0.004895241,0.373375885,0.347603741,0.065322034,0.76393042,153.2026996,24,0.000856867,19,0.092003031,23,6.480185632,1.10130387,4.806705753,1.161458167,0.162004641,10.0204853,0.001098363,0.237313144,0.165929493,0.019851769,-0.302688273,49.68298983,25,0.001287093,19,0.11787542,22,7.724411973,1.564013829,3.938493245,1.192363577,0.193110299,9.981028124,0.001560137,0.282060576,0.197738074,0.019851769,-0.136435223,70.19582019,22,0.001808758,19,0.140008101,20,13.4073835,4.554919106,6.134252709,1.334614816,0.335184588,8.452176072,0.004602225,0.404834197,0.337450704,0.009534802,0.473264347,166.7448487,24,0.00152427,38,0.133357462,21,11.38394548,3.258292955,3.892202577,1.284420994,0.284598637,9.163243049,0.003301995,0.335515493,0.285407295,0.212223661,0.63090288,136.5316113,25,0.00046094,19,0.102940648,24,18.98880435,9.029267872,4.3250145,1.474592656,0.474720109,7.751008278,0.009164522,0.492880772,0.475112299,0.088696408,0.591602321,293.3272765,27,0.000372515,19,0.072642651,24,medium
16,8.676667294,1.896958657,3.660723208,1.216764174,0.216916682,8.255229215,0.001920789,0.249459698,0.217770444,0.001111317,0.970017479,67.52212084,28,0.000371119,0,0.065086032,24,16.09332799,6.613783948,5.155375187,1.401093628,0.4023332,8.495819278,0.006662763,0.501880176,0.406625871,0.001111317,0.032360496,241.0433143,28,0.003472595,39,0.199093953,27,14.94346931,5.583629697,5.909510861,1.373578107,0.373586733,8.116564783,0.005670503,0.381809807,0.373618445,0.001111317,0.134775918,195.9892362,25,2.37E-05,0,0.016446149,25,9.58903029,2.422834911,3.796871349,1.238472855,0.239725757,9.056973029,0.002412125,0.333817667,0.246111505,0.001111317,-0.238093947,93.0281703,21,0.003102434,39,0.188183819,19,11.3959983,3.418603153,2.974189284,1.283224971,0.284899958,9.039297917,0.003404751,0.395635842,0.29234411,0.001111317,-0.412568609,131.0544275,21,0.004297093,39,0.221471769,20,16.26981048,6.695532615,4.430946849,1.406052936,0.406745262,8.32442901,0.006769678,0.481276814,0.409131171,0.001111317,0.224438062,239.9712269,28,0.001946607,39,0.149063105,23,11.43375643,3.278473308,3.760726765,1.285744708,0.285843911,8.169764585,0.003325706,0.312824346,0.286289771,0.001111317,0.311134479,115.6994699,31,0.000255091,0,0.053960871,30,19.33614135,9.34841805,3.176133383,1.483392925,0.483403534,8.115931356,0.009493994,0.492880772,0.483436088,0.001111317,-0.099043078,328.1147232,29,3.15E-05,0,0.018954475,24,medium
